ticker,n_test,cand_cov,cand_score,base_cov_local,base_score_local,k_local,long_target_inverted,short_target_inverted,false_long_rr_pass,false_short_rr_pass
A,276,0.5543478260869565,2.5940378623188405,0.7101449275362319,2.0525766109989516,0.6756647437700259,3,0,0,0
AAL,276,0.4746376811594203,3.9501163949275364,0.6630434782608695,2.7488106991782972,0.6141433509731954,1,0,0,0
AAP,276,0.4927536231884058,10.321444565217385,0.6594202898550725,7.181542477389741,0.5811083216653248,2,0,0,0
AAPL,276,0.5652173913043478,7.31125697463768,0.7028985507246377,5.387319619438921,0.6517330866241621,2,0,0,0
ABBV,276,0.5036231884057971,4.817304438405796,0.7355072463768116,3.300620604945829,0.6277880204513271,4,0,0,0
ABC,276,0.532608695652174,5.539716304347828,0.6884057971014492,4.0518487968992,0.56558944904918,1,0,0,0
ABT,276,0.4782608695652174,2.097521376811594,0.6811594202898551,1.4735396458063574,0.6307282630745152,3,0,0,0
ACN,276,0.4782608695652174,4.462585326086955,0.6666666666666666,3.3836991739434543,0.5988594156027608,1,0,0,0
ADBE,276,0.4963768115942029,7.710486141304352,0.7246376811594203,5.744002296916284,0.6283310815627717,1,0,0,0
ADI,276,0.4782608695652174,4.567361322463767,0.6304347826086957,3.379387134211387,0.5848154344849209,2,0,0,0
ADM,276,0.532608695652174,2.0268035326086955,0.7681159420289855,1.4479169141629498,0.6727438825426558,2,0,0,0
ADP,276,0.4855072463768116,5.2636287137681155,0.6630434782608695,3.565095657256392,0.6003453739725138,2,0,0,0
ADS,276,0.5036231884057971,15.466459239130437,0.7210144927536232,11.138111186491757,0.6121756709176552,1,0,0,0
ADSK,276,0.5,6.735866938405796,0.7101449275362319,5.117504838999839,0.6437798315279911,0,0,0,0
AEE,276,0.48188405797101447,1.93553097826087,0.6811594202898551,1.3715764762352551,0.6395800367209845,1,0,0,0
AEP,276,0.4927536231884058,2.2360655797101456,0.6847826086956522,1.5853832857521457,0.6445139898787262,1,0,0,0
AES,276,0.45652173913043476,0.6202704710144927,0.6884057971014492,0.46307949237244567,0.6344436788448834,1,0,0,0
AET,276,0.5036231884057971,7.337441757246377,0.782608695652174,5.122585337650497,0.6903352648214471,1,0,0,0
AFL,276,0.5869565217391305,2.701439764492754,0.7137681159420289,1.8933400158196363,0.6243300088755557,2,0,0,0
AGN,276,0.5036231884057971,12.444985235507248,0.7463768115942029,8.658378020815976,0.6206139313086321,3,0,0,0
AIG,276,0.5181159420289855,2.6395807971014484,0.7318840579710145,1.816598272677043,0.6242150078831177,3,0,0,0
AIV,276,0.5217391304347826,1.7723644927536228,0.7210144927536232,1.235885384709756,0.6051474539131565,0,1,0,0
AIZ,276,0.5217391304347826,5.0479249094202885,0.7282608695652174,3.5749189348370196,0.6396227765980845,2,0,0,0
AJG,276,0.5289855072463768,2.1642698369565228,0.6884057971014492,1.4748029446218707,0.6070829962404282,1,0,0,0
AKAM,276,0.5289855072463768,3.7660221014492747,0.7355072463768116,2.789483360723991,0.6449730962879582,2,1,0,0
ALB,276,0.5036231884057971,7.713907518115943,0.6340579710144928,5.548233021911342,0.5836340492519392,2,0,0,0
ALGN,276,0.5217391304347826,13.941147192028982,0.644927536231884,10.176132840436825,0.5893987183519507,1,0,0,0
ALK,276,0.48188405797101447,5.929691576086958,0.6884057971014492,4.203406835126815,0.6318464160843966,3,1,0,0
ALL,276,0.5362318840579711,3.134778894927536,0.7572463768115942,2.2601595782256343,0.6373383835100533,0,0,0,0
ALLE,276,0.48188405797101447,3.7528401268115945,0.6739130434782609,2.580233757088743,0.5762962029593645,1,0,0,0
ALXN,276,0.5108695652173914,10.276875090579711,0.6702898550724637,7.223056316385693,0.6170849490111576,1,0,0,0
AMAT,276,0.5181159420289855,3.349905253623187,0.6086956521739131,2.4825234675374452,0.5985328659403469,1,0,0,0
AMD,276,0.6231884057971014,1.76270643115942,0.6956521739130435,1.3146310365480844,0.5967927483900712,1,0,0,0
AME,276,0.5579710144927537,2.2779228260869577,0.6884057971014492,1.6379821420416916,0.6421985738438436,2,0,0,0
AMG,276,0.5217391304347826,8.971151539855075,0.7681159420289855,6.770712042553181,0.6925252276703133,4,0,0,0
AMGN,276,0.532608695652174,8.50970788043478,0.7101449275362319,6.055246879389546,0.6433249728307042,4,0,0,0
AMP,276,0.5289855072463768,7.765720199275363,0.7318840579710145,5.612605258063428,0.7020531620066344,1,0,0,0
AMT,276,0.42028985507246375,5.96533197463768,0.7101449275362319,4.078522265189359,0.6269335285686282,2,0,0,0
AMZN,276,0.48188405797101447,54.46445344202899,0.6557971014492754,38.326332784548484,0.6481290745423073,1,0,0,0
ANDV,276,0.40942028985507245,5.599425362318843,0.6811594202898551,3.9159124183862644,0.6121816667081057,0,0,0,0
ANSS,276,0.4891304347826087,6.049650815217393,0.7028985507246377,4.353010594645743,0.5863260505763734,1,0,0,0
ANTM,276,0.532608695652174,10.062776992753626,0.7391304347826086,7.274725135199846,0.6540546128379441,5,0,0,0
AON,276,0.4782608695652174,4.678308786231882,0.6739130434782609,3.2804639639470414,0.6217648199148,1,0,0,0
AOS,276,0.4927536231884058,2.5186041666666665,0.6485507246376812,1.7170189079177844,0.6018847234857887,2,0,0,0
APA,276,0.45652173913043476,4.523426177536232,0.6956521739130435,3.10657120352968,0.627631323208513,2,0,0,0
APC,276,0.4528985507246377,3.996642844202898,0.6884057971014492,2.753176018650223,0.6167039165366625,3,0,0,0
APD,276,0.5398550724637681,5.035985597826085,0.6847826086956522,3.934292488343116,0.6041128921332772,0,0,0,0
APH,276,0.5579710144927537,2.396433876811593,0.6884057971014492,1.9269362994465835,0.622701962263644,1,0,0,0
ARE,276,0.48188405797101447,4.8978197463768085,0.6920289855072463,3.3210814459443685,0.5848846073774274,0,0,0,0
ARNC,276,0.4601449275362319,2.196812047101449,0.6739130434782609,1.5546588543790576,0.6328136781961263,4,0,0,0
ATVI,276,0.4746376811594203,4.021152083333335,0.6485507246376812,2.9927299495310336,0.6067314905867005,1,0,0,0
AVB,276,0.5181159420289855,6.1731311594202865,0.7572463768115942,4.891180655851019,0.5960816468620418,2,1,0,0
AVGO,276,0.4963768115942029,16.28594682971015,0.6739130434782609,11.477146561617491,0.6412198601920055,3,0,0,0
AVY,276,0.5144927536231884,3.9165983695652193,0.7210144927536232,2.8749164061151316,0.642981197017361,0,0,0,0
AWK,276,0.44565217391304346,3.1319150362318813,0.6920289855072463,2.1556494314996866,0.6130433106812279,1,0,0,0
AXP,276,0.5398550724637681,3.1456095108695648,0.7427536231884058,2.2571646375959604,0.6363984336650184,2,0,0,0
AYI,276,0.4855072463768116,16.75802101449275,0.677536231884058,11.464647176514477,0.5875342691511939,0,2,0,0
AZO,276,0.5253623188405797,42.18820461956522,0.6630434782608695,28.672881025781475,0.5744244960727513,3,0,0,0
BA,276,0.44565217391304346,12.024786684782615,0.6739130434782609,8.754467249841664,0.6626521530179624,4,0,0,0
BAC,276,0.5072463768115942,1.5069326992753622,0.7137681159420289,1.0502943239808142,0.676583434637204,1,0,0,0
BAX,276,0.5144927536231884,2.3314052536231893,0.6557971014492754,1.6758120629667943,0.59341250759102,0,0,0,0
BBT,276,0.5615942028985508,2.2392080615942027,0.7246376811594203,1.5633434878106192,0.6594500820532407,0,2,0,0
BBY,276,0.42028985507246375,4.748850090579708,0.6557971014492754,3.3043988365092725,0.6240974515142211,0,0,0,0
BDX,276,0.5036231884057971,8.574605525362324,0.7282608695652174,6.05915377020652,0.6285889565497483,5,0,0,0
BEN,276,0.5253623188405797,2.087940398550724,0.7463768115942029,1.5058331824404996,0.6657146719791176,0,0,0,0
BF.B,276,0.44565217391304346,2.703304619565217,0.717391304347826,1.892533686545508,0.6285061561778412,3,0,0,0
BIIB,276,0.5072463768115942,19.538550905797095,0.6811594202898551,13.78064244087326,0.6148639781610349,4,0,0,0
BK,276,0.5108695652173914,2.162507246376811,0.7391304347826086,1.599740795287673,0.6712782972220288,0,0,0,0
BLK,276,0.5289855072463768,18.899839945652168,0.7028985507246377,13.563347586153851,0.6605108284634551,1,0,0,0
BLL,276,0.4782608695652174,1.7185689311594203,0.6992753623188406,1.2962416097429355,0.6184786714014875,2,0,0,0
BMY,276,0.5,3.1243240942029,0.7137681159420289,2.2838870373064215,0.6033807236362388,0,0,0,0
BRK.B,276,0.5289855072463768,6.057707608695645,0.7101449275362319,4.246199587664313,0.6789320660400218,1,0,0,0
BSX,276,0.5471014492753623,1.212247010869565,0.7355072463768116,0.8915032285630996,0.6288178382082518,3,1,0,0
BWA,276,0.5072463768115942,2.9950163043478275,0.6884057971014492,2.090154708645256,0.6419005029311066,3,0,0,0
BXP,276,0.4528985507246377,5.626734873188407,0.6920289855072463,3.8849700962443565,0.6165207130197224,0,0,0,0
C,276,0.5,3.3696466485507255,0.7065217391304348,2.3291884714986444,0.6247076891894476,0,0,0,0
CA,276,0.5905797101449275,1.370198731884058,0.7427536231884058,1.0481660637771077,0.6027072827156766,0,0,0,0
CAG,276,0.5144927536231884,1.6064007246376817,0.7028985507246377,1.128284266290804,0.6196017736878613,1,1,0,0
CAH,276,0.463768115942029,4.391245742753623,0.6992753623188406,3.062479156097831,0.6401268072883417,1,1,0,0
CAT,276,0.5181159420289855,6.037048822463768,0.6884057971014492,4.47726665340068,0.6149758613022119,3,0,0,0
CB,276,0.4963768115942029,5.417784239130435,0.7137681159420289,3.742692321477908,0.6626108839611788,0,0,0,0
CBG,276,0.4746376811594203,2.05078768115942,0.7028985507246377,1.3843862628198158,0.646200517609526,2,0,0,0
CBOE,276,0.5144927536231884,4.155776358695651,0.6594202898550725,3.0455701143515506,0.5684650563227621,2,0,0,0
CBS,276,0.5072463768115942,3.749682427536234,0.6485507246376812,2.6073445995485356,0.6210679772802604,0,0,0,0
CCI,276,0.4601449275362319,4.460867300724635,0.7065217391304348,3.0790692511619104,0.6034130112660474,2,0,0,0
CCL,276,0.4927536231884058,2.839672916666668,0.6557971014492754,2.099783956659659,0.6186965090781884,0,0,0,0
CDNS,276,0.5072463768115942,1.911263043478262,0.6340579710144928,1.3562599869048595,0.5555168496353337,3,0,0,0
CELG,276,0.532608695652174,7.639243297101447,0.7391304347826086,5.5242813285885335,0.6253344907967967,2,1,0,0
CERN,276,0.5398550724637681,3.583289039855073,0.7065217391304348,2.4550272206930392,0.6056511236558157,3,0,0,0
CF,276,0.4420289855072464,3.489052989130435,0.6630434782608695,2.418687731257152,0.6112871007372201,2,0,0,0
CHD,276,0.4601449275362319,2.023382427536231,0.7101449275362319,1.362379569194569,0.6296269470420629,0,2,0,0
CHK,276,0.4420289855072464,0.6445754528985507,0.6666666666666666,0.44342402223422134,0.6176462728161609,0,1,0,0
CHRW,276,0.5217391304347826,3.854650543478261,0.6630434782608695,2.672596996105586,0.5645115448709237,4,1,0,0
CHTR,276,0.532608695652174,20.480938768115944,0.6920289855072463,15.53265984193469,0.5669534874715974,0,0,0,0
CI,276,0.5253623188405797,8.299202083333341,0.6739130434782609,6.024578566823692,0.6194250115757334,0,0,0,0
CINF,276,0.4673913043478261,3.3884312499999996,0.7101449275362319,2.246837890467032,0.6583214514925696,0,1,0,0
CL,276,0.5036231884057971,2.8882613224637663,0.7101449275362319,2.0871794611018006,0.6116050393065762,0,0,0,0
CLX,276,0.5072463768115942,5.550210054347827,0.6413043478260869,3.958488471612564,0.5884451381198936,1,1,0,0
CMA,276,0.5471014492753623,4.537035688405799,0.7572463768115942,3.1278009991437576,0.6448194146890118,1,0,0,0
CMCSA,276,0.5,2.0447577898550713,0.6594202898550725,1.439366137232556,0.6073070423911991,3,0,0,0
CME,276,0.5615942028985508,5.362566847826088,0.7028985507246377,3.9231886066911468,0.6090187174617582,3,0,0,0
CMG,276,0.4601449275362319,28.30222599637682,0.7028985507246377,20.360366193279727,0.6125744362059578,1,0,0,0
CMI,276,0.5289855072463768,7.630629891304347,0.6847826086956522,5.58984579803831,0.6148107654898305,0,0,0,0
CMS,276,0.4673913043478261,1.445537047101448,0.6594202898550725,1.0360347006640558,0.6325581219441196,0,0,0,0
CNC,276,0.4963768115942029,5.836210960144931,0.6376811594202898,4.396643480529771,0.598537553857384,2,0,0,0
CNP,276,0.4384057971014493,1.056018297101449,0.6630434782608695,0.7308565824438432,0.6147110851268835,2,1,0,0
COF,276,0.4927536231884058,4.798283423913045,0.7318840579710145,3.4034764442246175,0.6812875812734555,1,0,0,0
COG,276,0.4492753623188406,1.8734537137681146,0.6847826086956522,1.3421249796423231,0.5945176897867475,2,0,0,0
COL,276,0.5507246376811594,4.4907589673913035,0.7355072463768116,3.9647413966486025,0.6206581496697452,1,0,0,0
COO,276,0.5217391304347826,11.860737228260868,0.7065217391304348,8.56826497541707,0.5831390556950858,3,0,0,0
COP,276,0.5072463768115942,3.1961404891304364,0.6992753623188406,2.435043356902264,0.6758010201338804,3,0,0,0
COST,276,0.4963768115942029,8.341459963768115,0.6920289855072463,5.900493496288567,0.6031325287515868,1,1,0,0
COTY,276,0.4963768115942029,1.5059335144927537,0.5760869565217391,1.0568276662000227,0.513945721747922,1,1,0,0
CPB,276,0.5217391304347826,2.753507971014493,0.6956521739130435,2.081755409783605,0.6078314976716418,1,2,0,0
CRM,276,0.6086956521739131,3.829980615942029,0.7355072463768116,2.8542999155631494,0.620198317637755,1,0,0,0
CSCO,276,0.5144927536231884,1.3368924818840582,0.6847826086956522,1.0208808113764014,0.5937482912709915,1,1,0,0
CSX,276,0.5072463768115942,3.4262379528985503,0.6847826086956522,2.5143550631376463,0.6470861556410025,1,1,0,0
CTAS,276,0.5036231884057971,6.109990942028987,0.6630434782608695,4.130747665684404,0.5716594458851965,2,0,0,0
CTL,276,0.5072463768115942,1.7880556159420289,0.6847826086956522,1.2694779995906862,0.620575206904748,1,0,0,0
CTSH,276,0.5398550724637681,2.622817844202899,0.7210144927536232,1.9993339596622715,0.632237976517806,0,0,0,0
CTXS,276,0.5905797101449275,4.4295986413043495,0.7463768115942029,3.6125659983202434,0.5988047805020194,1,2,0,0
CVS,276,0.5036231884057971,4.746887681159422,0.7137681159420289,3.294245272217415,0.6297361896422232,1,0,0,0
CVX,276,0.4963768115942029,5.006821739130433,0.7282608695652174,3.477053647718645,0.6708344432394898,3,1,0,0
CXO,276,0.4782608695652174,9.070228442028986,0.6992753623188406,6.219557896540862,0.6233571512612746,1,0,0,0
D,276,0.4855072463768116,2.785503351449273,0.6739130434782609,2.010094890862335,0.6041539049779184,0,0,0,0
DAL,276,0.5144927536231884,3.375546376811594,0.6594202898550725,2.4266558014356416,0.6225959392047071,1,1,0,0
DE,276,0.5543478260869565,5.599119565217392,0.677536231884058,4.121454542011202,0.590035955953171,1,0,0,0
DFS,276,0.5036231884057971,3.3162042572463757,0.7282608695652174,2.3399413138931355,0.6729087894953643,2,1,0,0
DG,276,0.4673913043478261,5.162527989130435,0.6884057971014492,3.4663977720719372,0.6168962253130953,2,0,0,0
DGX,276,0.5615942028985508,3.718339945652174,0.7862318840579711,2.6923432759283035,0.6304548330343467,0,0,0,0
DHI,276,0.5036231884057971,2.1237963768115944,0.6485507246376812,1.5042061197578633,0.600072461188556,3,0,0,0
DHR,276,0.4963768115942029,3.1729473731884057,0.7028985507246377,2.242267843357497,0.6356263049870288,0,0,0,0
DIS,276,0.5471014492753623,4.237999365942028,0.6992753623188406,3.1374841963909934,0.6362768390719802,0,1,0,0
DISCA,276,0.5036231884057971,2.0115136775362314,0.6630434782608695,1.3643921116063196,0.5984846107961557,1,0,0,0
DISCK,276,0.48188405797101447,1.8937006340579707,0.6739130434782609,1.281105654973823,0.6024778007635786,0,0,0,0
DISH,276,0.5253623188405797,3.8565646739130424,0.7137681159420289,2.8641129604153304,0.6043241793286683,0,0,0,0
DLR,276,0.42028985507246375,6.579482155797101,0.6956521739130435,4.371654957273793,0.6285762649817227,0,2,0,0
DLTR,276,0.4855072463768116,5.29572536231884,0.6485507246376812,3.7192383928936827,0.5756664988149831,1,0,0,0
DOV,276,0.5253623188405797,4.182869746376809,0.7210144927536232,3.109004906859384,0.6327984463496256,2,0,0,0
DPS,276,0.5253623188405797,3.769909510869566,0.7934782608695652,2.7396135157422803,0.6346198857029591,1,0,0,0
DRE,276,0.4927536231884058,1.1782913043478258,0.717391304347826,0.8121851903281512,0.621758401975505,1,1,0,0
DRI,276,0.5398550724637681,4.322215489130434,0.7101449275362319,3.0882195011280507,0.6309771929600685,0,0,0,0
DTE,276,0.4891304347826087,3.4282030797101446,0.6847826086956522,2.4127502264945857,0.6416276397671529,2,0,0,0
DUK,276,0.5108695652173914,2.427741485507246,0.6884057971014492,1.7730182305451092,0.607411011450346,2,0,0,0
DVA,276,0.5289855072463768,4.393248460144924,0.6521739130434783,3.0875571976726217,0.5651165278201729,0,1,0,0
DVN,276,0.4420289855072464,3.3979844202898555,0.6920289855072463,2.325382016273449,0.6442644325515556,2,1,0,0
EA,276,0.4927536231884058,6.445812047101449,0.7028985507246377,4.731732790104558,0.6092597427822518,0,0,0,0
EBAY,276,0.5434782608695652,2.0500858695652178,0.6702898550724637,1.5109301009260605,0.5682973236058625,3,0,0,0
ECL,276,0.5253623188405797,3.774947373188409,0.7355072463768116,2.7315668576370764,0.6542451476837162,2,0,0,0
ED,276,0.47101449275362317,2.7117303442029015,0.6485507246376812,1.8304774406793278,0.619974835873141,0,0,0,0
EFX,276,0.532608695652174,6.427795652173913,0.7681159420289855,5.729910844160879,0.6329091019822136,1,2,0,0
EIX,276,0.4601449275362319,3.2155691123188412,0.7137681159420289,2.265689890408128,0.6224303954616376,0,1,0,0
EL,276,0.5289855072463768,4.218742300724639,0.717391304347826,3.2170425173097517,0.6415035003882756,5,0,0,0
EMN,276,0.47101449275362317,3.863727083333332,0.6956521739130435,2.6195328622342364,0.6118537888775429,0,0,0,0
EMR,276,0.463768115942029,2.965768749999999,0.6920289855072463,2.0242467180790076,0.6486127869902181,0,0,0,0
EOG,276,0.5,5.5934054347826105,0.7028985507246377,3.898744514882594,0.6551367779116657,0,1,0,0
EQIX,276,0.47101449275362317,20.022349275362334,0.7028985507246377,14.116809902779893,0.5928152652409587,1,0,0,0
EQR,276,0.5108695652173914,2.2655134963768098,0.7210144927536232,1.626763824894526,0.619431637723479,1,0,0,0
EQT,276,0.5652173913043478,4.916255615942029,0.6920289855072463,3.6679597100365284,0.6085667567581149,1,0,0,0
