phase_order,tab,component_id,component_name,decision_role,current_status,free_proof_feasibility,free_source_stack,main_blocker,impact_on_final_result,bias_if_ignored,legal_fallback,next_action
50,IHSG,ID07,IHSG Long-Only Selector,Top-K long-only ranking,BLOCKED_TEST,PARTIAL,"IDX, KSEI, issuer filings, OJK/BI/BPS, daily prices",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
51,CRYPTO,CR01,Lifecycle / Token Universe,Avoid dead-token and lifecycle bias,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
52,CRYPTO,CR02,Protocol Activity,"Users, transactions and usage",READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
53,CRYPTO,CR03,Token-Holder Value Capture,Fees/revenue to token holders,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
54,CRYPTO,CR04,Stablecoin / Venue Liquidity,Liquidity impulse,READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
55,CRYPTO,CR05,Funding / OI / Liquidation,Leverage state,READY_FREE,FULL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
56,CRYPTO,CR06,Unlock / Issuance / Treasury,Supply pressure,PARTIAL_FREE,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
57,CRYPTO,CR07,Lifecycle-Adjusted Selector,Token ranking by archetype,BLOCKED_TEST,PARTIAL,"DefiLlama, public chain data, Binance Data Vision, protocol disclosures",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
58,COMMODITIES,CO01,Global Physical Balance,Supply-demand state,READY_FREE,FULL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
59,COMMODITIES,CO02,Curve / Basis / Physical Premium,Futures/physical confirmation,PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
60,COMMODITIES,CO03,Positioning / Crowding,Speculative state,READY_FREE,FULL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
61,COMMODITIES,CO04,Weather / Policy / Outage Shock,Event and production risk,PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
62,COMMODITIES,CO05,Bottleneck Strength,"Qualification, substitution and lead time",PARTIAL_FREE,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
63,COMMODITIES,CO06,Expression / Beneficiary Selector,Contract and listed beneficiary ranking,BLOCKED_TEST,PARTIAL,"EIA, CFTC, USDA, IMF PortWatch, grid/weather sources",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
64,FX,FX01,Relative Macro / Surprise Matrix,Pair-relative macro,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
65,FX,FX02,Policy / Real-Rate Differential,Policy path divergence,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
66,FX,FX03,External Funding / Intervention Risk,Funding and official action,PARTIAL_FREE,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
67,FX,FX04,Positioning / Volatility State,Crowding and risk,READY_FREE,FULL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
68,FX,FX05,FX Pair Selector,Relative instrument ranking,BLOCKED_TEST,PARTIAL,"FRED/ALFRED, BIS SDMX, central banks, CFTC, prices",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
69,FLOW & ROTATION,FL01,Actual Fund / ETF Flow,Direct capital movement,PARTIAL_FREE,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
70,FLOW & ROTATION,FL02,Futures Positioning,Crowding,READY_FREE,FULL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
71,FLOW & ROTATION,FL03,Options / Dealer State,Convexity and hedging pressure,BLOCKED_OPTIONS_HISTORY,LOW,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",No complete free historical stock-level chains/dealer inventory,Options component unavailable; core selector proof remains possible,Overclaim / leakage / survivorship / proxy substitution,No complete free stock-level historical option chain.,Use aggregate options regime; do not impute stock-level gamma
72,FLOW & ROTATION,FL04,Cross-Asset Confirmation,Reality check,PARTIAL_FREE,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
73,FLOW & ROTATION,FL05,Market Internals / Breadth,Participation quality,READY_FREE,FULL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
74,FLOW & ROTATION,FL06,Rotation Stage / Exhaustion,Stage and follower policy,UNPROVEN,PARTIAL,"SEC N-PORT/13F, FINRA, CFTC, ETF issuer data, prices",Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
75,SUPPLY CHAIN,SC01,Shock / Event Ledger,Timestamp catalysts,READY_FREE,FULL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
76,SUPPLY CHAIN,SC02,Edge Validation Ledger,Store success/failure and lag,READY_FREE,FULL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
77,SUPPLY CHAIN,SC03,Physical / Economic Transmission,Map real transmission,PARTIAL_FREE,PARTIAL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
78,SUPPLY CHAIN,SC04,Bottleneck Strength,"Capacity, qualification and substitution",PARTIAL_FREE,PARTIAL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
79,SUPPLY CHAIN,SC05,Profit-Pool Migration,Who captures economics,PARTIAL_FREE,PARTIAL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
80,SUPPLY CHAIN,SC06,Beneficiary Mapping,Map to listed candidates,BLOCKED_TEST,PARTIAL,"GDELT, USAspending, SAM.gov, IMF PortWatch, filings, satellite/grid data",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
81,COMPANY INTEL,CI01,Revenue Purity,Material exposure,PARTIAL_FREE,PARTIAL,"SEC filings/XBRL, company releases, contracts and operational datasets","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
82,COMPANY INTEL,CI02,Segment / Customer Exposure,Transmission detail,PARTIAL_FREE,PARTIAL,"SEC filings/XBRL, company releases, contracts and operational datasets","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
83,COMPANY INTEL,CI03,Orders / Backlog / RPO,Demand evidence,READY_FREE,FULL,"SEC filings/XBRL, company releases, contracts and operational datasets",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
84,COMPANY INTEL,CI04,Pricing Power,Margin capture,PARTIAL_FREE,PARTIAL,"SEC filings/XBRL, company releases, contracts and operational datasets","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
85,COMPANY INTEL,CI05,Revisions / Margin Inflection,Fundamental acceleration,PARTIAL_FREE,PARTIAL,"SEC filings/XBRL, company releases, contracts and operational datasets","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
86,COMPANY INTEL,CI06,Cash Conversion / Dilution / Debt,Quality and fragility,READY_FREE,FULL,"SEC filings/XBRL, company releases, contracts and operational datasets",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
87,KNOWLEDGE GRAPH,KG01,Event Nodes,Timestamped events,READY_FREE,FULL,All timestamped evidence with source/hash lineage,Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
88,KNOWLEDGE GRAPH,KG02,Causal Edges,Direction and mechanism,PARTIAL_FREE,PARTIAL,All timestamped evidence with source/hash lineage,"Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
89,KNOWLEDGE GRAPH,KG03,Lag / Materiality,Timing and size,UNPROVEN,PARTIAL,All timestamped evidence with source/hash lineage,Formula/OOS result absent,Narrative only; no predictive claim,Overclaim / leakage / survivorship / proxy substitution,Concept mapped; formula and OOS result absent.,Register simple baseline and falsifiable target
90,KNOWLEDGE GRAPH,KG04,Invalidation / Alternative Path,Falsification,PARTIAL_FREE,PARTIAL,All timestamped evidence with source/hash lineage,"Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
91,KNOWLEDGE GRAPH,KG05,Completion / Failure History,Edge validation,BLOCKED_TEST,PARTIAL,All timestamped evidence with source/hash lineage,Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
92,VALIDATION,VA01,Evidence Grade & Scope Permission,Control claim ceiling,FIX_CONTROL,FULL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",None for current descriptive/control role,No predictive permission by design,Permission leakage,Control is usable; does not prove market edge.,Retain; consume only validated upstream outputs
93,VALIDATION,VA02,Component Tournament,Prove incremental components,BLOCKED_TEST,PARTIAL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
94,VALIDATION,VA03,Selector Tournament,Prove Top-K ranking,BLOCKED_TEST,PARTIAL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",Frozen panel/component tournament not executed,No selector or alpha claim,Overclaim / leakage / survivorship / proxy substitution,"Inputs can be built, but tournament has not been run.",Execute after data panel and target freeze
95,VALIDATION,VA04,Ablation / Redundancy / Trial Ledger,Control search budget,READY_FREE,FULL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
96,VALIDATION,VA05,Historical Blind Lockbox,One-shot validation,PARTIAL_FREE,PARTIAL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
97,VALIDATION,VA06,Prospective Shadow,Untouched future proof,READY_NOW,FULL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",Future observations have not accumulated yet,Cannot call historical result prospective,Overclaim / leakage / survivorship / proxy substitution,Can start prospectively immediately.,Start immutable daily/event snapshots immediately
98,VALIDATION,VA07,Factor / Beta / Regime Attribution,Separate alpha from exposure,READY_FREE,FULL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts",Historical free panel and tournament not yet assembled,Component remains unproven,Overclaim / leakage / survivorship / proxy substitution,Free data sufficient to run a historical component test.,Build PIT-approximate panel and run baseline/component WFA
99,VALIDATION,VA08,Portfolio / Execution Permission,Gross alpha then executable proof,BLOCKED_ALPHA,PARTIAL,"Frozen datasets, prediction ledgers, blind lockbox and prospective receipts","No proven selector, factor-neutral attribution or prospective evidence",PAPER/LIVE remain blocked,Overclaim / leakage / survivorship / proxy substitution,Requires proven selector plus attribution and prospective proof.,"Require selector proof, alpha attribution and prospective pass"
